,d_game_date,c_prop_cd,c_game_report_desc,c_game_report_type,c_table_num,Drop,f_hands_played,i_minutes_played,f_theo_win,f_actual_win,i_open_hours,actul win over minutes played
31,2020-11-13,ABC,Nepal Baccarat,Baccarat,204,4752,810,968,997.92,-10714,22,-11.068181818181818
32,2020-10-17,ABC,SZ Roulette,Roulette,170,1768,988,2888,388.96,-7100,19,-2.458448753462604
33,2020-11-15,ABC,Nepal Baccarat,Baccarat,203,3276,1240,1332,687.9599999999999,10224,18,7.675675675675675
34,2020-10-28,ABC,Free Bet BJ 6 to 5,Blackjack,652,1440,954,2600,316.8,-7575,13,-2.9134615384615383
35,2020-11-20,ABC,SZ Roulette,Roulette,170,2220,1220,2470,488.4,-7936,19,-3.2129554655870445
36,2020-10-13,ABC,SZ Roulette,Roulette,170,975,450,2304,214.5,-4862,24,-2.1102430555555554
37,2020-10-21,ABC,Nepal Baccarat,Baccarat,203,4900,1062,552,1029.0,-8952,6,-16.217391304347824
38,2020-11-03,ABC,Face Up Pai Gow,Pai Gow,207,5405,1365,3675,1026.95,-112,21,-0.030476190476190476
39,2020-10-12,ABC,SZ Roulette,Roulette,170,2448,1426,2240,538.5600000000001,-3325,14,-1.484375
40,2020-11-09,ABC,Face Up Pai Gow,Pai Gow,207,675,644,1215,128.25,7241,9,5.959670781893004
41,2020-11-13,ABC,Free Bet BJ 6 to 5,Blackjack,652,2240,1152,1320,492.8,16611,20,12.584090909090909
42,2020-10-23,ABC,Nepal Baccarat,Baccarat,204,6808,1188,3300,1429.6799999999998,5729,22,1.736060606060606
43,2020-10-18,ABC,TZ Roulette,Roulette,4,2990,765,1840,657.8,13398,20,7.281521739130435
44,2020-11-19,ABC,Face Up Pai Gow,Pai Gow,208,1375,184,1620,261.25,150,15,0.09259259259259259
45,2020-10-16,ABC,Nepal Baccarat,Baccarat,204,2332,1184,2788,489.71999999999997,5967,17,2.1402439024390243
46,2020-10-16,ABC,SZ Roulette,Roulette,170,3888,1206,4992,855.36,432,24,0.08653846153846154
47,2020-11-15,ABC,Face Up Pai Gow,Pai Gow,206,2877,1302,400,546.63,9144,20,22.86
48,2020-11-14,ABC,Free Bet BJ 6 to 5,Blackjack,652,1776,912,2166,390.72,-13328,19,-6.153277931671283
49,2020-10-18,ABC,SZ Roulette,Roulette,171,3078,1408,1320,677.16,18864,20,14.290909090909091
50,2020-11-19,ABC,Face Up Pai Gow,Pai Gow,207,1341,936,560,254.79,13590,7,24.267857142857142
51,2020-10-17,ABC,Free Bet BJ 6 to 5,Blackjack,804,3135,867,2565,689.7,14000,19,5.458089668615984
52,2020-11-15,ABC,TZ Roulette,Roulette,801,5160,1134,4240,1135.2,11799,16,2.7827830188679243
53,2020-10-06,ABC,SZ Roulette,Roulette,170,1800,976,774,396.0,-1714,6,-2.214470284237726
54,2020-11-11,ABC,Face Up Pai Gow,Pai Gow,207,4137,325,184,786.03,-2106,2,-11.445652173913043
55,2020-10-25,ABC,Free Bet BJ 6 to 5,Blackjack,803,4026,952,752,885.72,-13335,16,-17.732712765957448
56,2020-11-07,ABC,Free Bet BJ 6 to 5,Blackjack,803,5676,882,4830,1248.72,7280,21,1.5072463768115942
57,2020-10-07,ABC,Nepal Baccarat,Baccarat,203,708,770,4750,148.68,6001,19,1.2633684210526315
58,2020-11-20,ABC,Free Bet BJ 6 to 5,Blackjack,652,4318,1298,1122,949.96,-15713,17,-14.00445632798574
59,2020-10-06,ABC,Free Bet BJ 6 to 5,Blackjack,652,1024,855,2652,225.28,6304,17,2.377073906485671
60,2020-10-27,ABC,SZ Roulette,Roulette,170,2040,1044,2730,448.8,-10044,14,-3.679120879120879
61,2020-10-25,ABC,Face Up Pai Gow,Pai Gow,208,3384,1197,1200,642.96,1656,24,1.38
62,2020-11-04,ABC,Nepal Baccarat,Baccarat,204,625,216,345,131.25,-4698,3,-13.617391304347827
63,2020-10-02,ABC,Free Bet BJ 6 to 5,Blackjack,7,2332,1265,2232,513.04,-4208,18,-1.885304659498208
64,2020-11-01,ABC,Free Bet BJ 6 to 5,Blackjack,804,3528,1008,4290,776.16,15428,22,3.596270396270396
65,2020-10-26,ABC,Nepal Baccarat,Baccarat,203,0,510,720,340.0,1095,5,1.5208333333333333
66,2020-10-28,ABC,Face Up Pai Gow,Pai Gow,207,1665,290,1134,316.35,3450,9,3.0423280423280423
67,2020-10-30,ABC,Face Up Pai Gow,Pai Gow,207,4577,1540,3456,869.63,1034,18,0.2991898148148148
68,2020-11-19,ABC,Free Bet BJ 6 to 5,Blackjack,652,2168,1168,1482,476.96,-12292,19,-8.294197031039136
69,2020-10-31,ABC,TZ Roulette,Roulette,801,5880,935,2448,1293.6,6426,18,2.625
70,2020-11-09,ABC,Face Up Pai Gow,Pai Gow,208,4140,540,210,786.6,5620,1,26.761904761904763
71,2020-10-24,ABC,Free Bet BJ 6 to 5,Blackjack,652,2223,1134,592,489.06,18960,16,32.027027027027025
72,2020-11-15,ABC,Free Bet BJ 6 to 5,Blackjack,652,3604,1008,1176,792.88,-3438,21,-2.923469387755102
73,2020-11-05,ABC,Free Bet BJ 6 to 5,Blackjack,652,2538,1460,630,558.36,1830,15,2.9047619047619047
74,2020-11-10,ABC,SZ Roulette,Roulette,170,149,705,1480,32.78,2756,8,1.8621621621621622
75,2020-10-05,ABC,Nepal Baccarat,Baccarat,204,2940,1311,423,617.4,-9062,3,-21.423167848699762
76,2020-10-31,ABC,Free Bet BJ 6 to 5,Blackjack,652,6279,1278,1020,1381.38,336,17,0.32941176470588235
77,2020-10-16,ABC,Free Bet BJ 6 to 5,Blackjack,804,4152,1650,2058,913.44,12100,21,5.8794946550048595
78,2020-11-13,ABC,Nepal Baccarat,Baccarat,203,2480,1272,966,520.8,7002,21,7.248447204968944
79,2020-10-05,ABC,SZ Roulette,Roulette,171,2040,649,624,448.8,4140,24,6.634615384615385
80,2020-10-31,ABC,Face Up Pai Gow,Pai Gow,207,6094,1206,2058,1157.86,-819,21,-0.3979591836734694
81,2020-11-13,ABC,SZ Roulette,Roulette,170,3618,1248,4465,795.96,-14496,19,-3.2465845464725644
82,2020-11-14,ABC,SZ Roulette,Roulette,170,5206,1472,1620,1145.32,-5229,18,-3.227777777777778
83,2020-11-13,ABC,Face Up Pai Gow,Pai Gow,206,4240,1491,1426,805.6,-13986,23,-9.807854137447405
84,2020-11-02,ABC,Free Bet BJ 6 to 5,Blackjack,652,234,810,1587,51.48,-5727,23,-3.608695652173913
85,2020-11-16,ABC,Nepal Baccarat,Baccarat,204,4770,1380,2250,1001.6999999999999,-3382,10,-1.503111111111111
86,2020-10-26,ABC,Free Bet BJ 6 to 5,Blackjack,652,3330,640,1560,732.6,-1308,6,-0.8384615384615385
87,2020-10-03,ABC,Free Bet BJ 6 to 5,Blackjack,804,2375,736,2850,522.5,-9392,19,-3.2954385964912283
88,2020-11-06,ABC,Face Up Pai Gow,Pai Gow,206,6792,1196,1890,1290.48,19224,21,10.17142857142857
89,2020-10-23,ABC,Nepal Baccarat,Baccarat,203,3486,950,4180,732.06,-992,19,-0.23732057416267943
90,2020-11-14,ABC,TZ Roulette,Roulette,4,5985,1679,2530,1316.7,1152,22,0.4553359683794466
91,2020-10-27,ABC,Free Bet BJ 6 to 5,Blackjack,652,1225,552,2860,269.5,-4425,13,-1.5472027972027973
92,2020-11-19,ABC,Nepal Baccarat,Baccarat,204,1924,920,768,404.03999999999996,-11424,24,-14.875
93,2020-10-12,ABC,Face Up Pai Gow,Pai Gow,207,582,61,3445,110.58,-15232,13,-4.421480406386067
94,2020-10-24,ABC,Free Bet BJ 6 to 5,Blackjack,803,3268,1092,5400,718.96,2080,20,0.3851851851851852
95,2020-11-06,ABC,Free Bet BJ 6 to 5,Blackjack,7,5004,1044,1680,1100.88,-11488,20,-6.838095238095238
96,2020-10-10,ABC,Face Up Pai Gow,Pai Gow,208,3757,1127,2304,713.83,12222,24,5.3046875
97,2020-10-04,ABC,SZ Roulette,Roulette,171,3612,1464,630,794.64,-10700,18,-16.984126984126984
98,2020-10-19,ABC,Face Up Pai Gow,Pai Gow,208,2340,882,528,444.6,1067,3,2.0208333333333335
99,2020-11-04,ABC,Nepal Baccarat,Baccarat,203,2928,392,1560,614.88,21505,20,13.78525641025641
100,2020-10-16,ABC,Face Up Pai Gow,Pai Gow,208,3104,1184,2304,589.76,-6696,18,-2.90625
101,2020-11-21,ABC,SZ Roulette,Roulette,170,3264,1176,1200,718.08,16226,16,13.521666666666667
102,2020-10-20,ABC,Nepal Baccarat,Baccarat,204,748,816,864,157.07999999999998,-4037,9,-4.672453703703703
103,2020-10-05,ABC,Face Up Pai Gow,Pai Gow,208,168,1440,1395,31.92,6027,15,4.320430107526882
104,2020-10-03,ABC,TZ Roulette,Roulette,801,5529,880,3024,1216.38,-6153,18,-2.0347222222222223
105,2020-11-06,ABC,Free Bet BJ 6 to 5,Blackjack,804,4736,1449,2064,1041.92,920,24,0.44573643410852715
106,2020-11-14,ABC,SZ Roulette,Roulette,171,2788,972,1275,613.36,-13262,17,-10.401568627450981
107,2020-11-01,ABC,Free Bet BJ 6 to 5,Blackjack,803,4389,1500,3392,965.58,-5967,16,-1.7591391509433962
108,2020-11-01,ABC,Face Up Pai Gow,Pai Gow,208,3088,1296,1848,586.72,18150,22,9.821428571428571
109,2020-11-10,ABC,Nepal Baccarat,Baccarat,204,2331,112,3772,489.51,-11900,23,-3.154825026511135
110,2020-10-22,ABC,Face Up Pai Gow,Pai Gow,208,2200,120,1008,418.0,-2775,8,-2.7529761904761907
111,2020-11-10,ABC,Nepal Baccarat,Baccarat,203,3652,180,0,766.92,8064,0,inf
112,2020-10-04,ABC,SZ Roulette,Roulette,170,1984,1365,3360,436.48,-861,21,-0.25625
113,2020-10-04,ABC,TZ Roulette,Roulette,4,5130,1300,4085,1128.6,5920,19,1.4492044063647491
114,2020-10-15,ABC,Free Bet BJ 6 to 5,Blackjack,652,1680,1188,2208,369.6,21582,16,9.77445652173913
115,2020-10-02,ABC,Nepal Baccarat,Baccarat,203,6153,1420,1064,1292.1299999999999,16031,19,15.066729323308271
116,2020-11-07,ABC,TZ Roulette,Roulette,4,3740,990,1224,822.8,-4807,17,-3.927287581699346
117,2020-11-10,ABC,Free Bet BJ 6 to 5,Blackjack,652,3206,1134,0,705.32,6629,0,inf
118,2020-10-11,ABC,Free Bet BJ 6 to 5,Blackjack,652,2140,1440,5060,470.8,-5008,22,-0.9897233201581027
119,2020-10-23,ABC,Face Up Pai Gow,Pai Gow,208,3888,1541,820,738.72,15390,20,18.76829268292683
120,2020-10-24,ABC,Free Bet BJ 6 to 5,Blackjack,804,6226,1024,520,1369.72,-1152,20,-2.2153846153846155
121,2020-11-13,ABC,TZ Roulette,Roulette,801,4579,936,5000,1007.38,-5019,20,-1.0038
122,2020-10-08,ABC,Face Up Pai Gow,Pai Gow,207,0,1518,490,742.0,-19044,7,-38.86530612244898
123,2020-10-22,ABC,Face Up Pai Gow,Pai Gow,207,2110,1224,200,400.9,5089,2,25.445
124,2020-11-08,ABC,Nepal Baccarat,Baccarat,204,3760,1012,1840,789.6,11688,20,6.352173913043479
125,2020-10-04,ABC,TZ Roulette,Roulette,801,6072,1173,731,1335.84,5117,17,7.0
126,2020-10-11,ABC,Nepal Baccarat,Baccarat,204,3485,1218,4725,731.85,12320,21,2.6074074074074076
127,2020-11-14,ABC,Free Bet BJ 6 to 5,Blackjack,7,4658,1464,1944,1024.76,-7917,24,-4.072530864197531
128,2020-11-08,ABC,Free Bet BJ 6 to 5,Blackjack,652,5773,1575,1716,1270.06,-10787,22,-6.286130536130536
129,2020-10-11,ABC,Face Up Pai Gow,Pai Gow,207,2394,1540,648,454.86,-6354,24,-9.805555555555555
130,2020-11-06,ABC,Face Up Pai Gow,Pai Gow,208,4137,1265,3384,786.03,14706,18,4.345744680851064
131,2020-11-03,ABC,Free Bet BJ 6 to 5,Blackjack,652,2840,414,480,624.8,22701,10,47.29375
132,2020-10-01,ABC,SZ Roulette,Roulette,170,1870,901,1840,411.4,-2965,23,-1.611413043478261
133,2020-10-08,ABC,Nepal Baccarat,Baccarat,203,900,142,602,189.0,-2723,7,-4.523255813953488
134,2020-10-01,ABC,Face Up Pai Gow,Pai Gow,208,0,528,440,660.0,12765,4,29.011363636363637
135,2020-11-20,ABC,TZ Roulette,Roulette,4,5820,1210,817,1280.4,-9920,19,-12.141982864137088
136,2020-10-29,ABC,Nepal Baccarat,Baccarat,204,1024,264,0,215.04,15424,0,inf
137,2020-10-04,ABC,Free Bet BJ 6 to 5,Blackjack,7,6504,1584,3268,1430.88,19460,19,5.954712362301102
138,2020-10-19,ABC,Nepal Baccarat,Baccarat,204,1963,962,3960,412.22999999999996,2736,22,0.6909090909090909
139,2020-10-02,ABC,Nepal Baccarat,Baccarat,204,3230,1045,1536,678.3,-2360,16,-1.5364583333333333
140,2020-10-27,ABC,Face Up Pai Gow,Pai Gow,207,855,990,352,162.45,160,8,0.45454545454545453
141,2020-10-25,ABC,TZ Roulette,Roulette,4,2541,1288,1860,559.02,18440,20,9.913978494623656
142,2020-10-06,ABC,Face Up Pai Gow,Pai Gow,208,1246,858,972,236.74,19320,9,19.876543209876544
143,2020-10-01,ABC,Free Bet BJ 6 to 5,Blackjack,652,3783,936,1650,832.26,-3392,10,-2.0557575757575757
144,2020-10-15,ABC,Nepal Baccarat,Baccarat,203,4416,1152,384,927.36,7965,12,20.7421875
145,2020-10-05,ABC,Face Up Pai Gow,Pai Gow,207,412,148,126,78.28,13395,3,106.30952380952381
146,2020-11-07,ABC,Nepal Baccarat,Baccarat,204,2717,1258,2100,570.5699999999999,10752,21,5.12
147,2020-10-04,ABC,Free Bet BJ 6 to 5,Blackjack,804,4590,1088,2976,1009.8,-8864,24,-2.978494623655914
148,2020-10-19,ABC,Face Up Pai Gow,Pai Gow,207,334,336,330,63.46,86,2,0.2606060606060606
149,2020-10-29,ABC,TZ Roulette,Roulette,4,762,1491,920,167.64000000000001,976,5,1.0608695652173914
150,2020-10-02,ABC,Face Up Pai Gow,Pai Gow,207,2304,1210,5405,437.76,-14952,23,-2.766327474560592
151,2020-10-22,ABC,Nepal Baccarat,Baccarat,203,2780,98,3800,583.8,2327,19,0.6123684210526316
152,2020-10-25,ABC,Free Bet BJ 6 to 5,Blackjack,652,5320,969,1827,1170.4,-2240,21,-1.2260536398467432
153,2020-10-13,ABC,Nepal Baccarat,Baccarat,204,440,1311,1007,92.39999999999999,-518,19,-0.5143992055610725
154,2020-10-29,ABC,Free Bet BJ 6 to 5,Blackjack,7,2178,627,448,479.16,10875,14,24.274553571428573
155,2020-10-03,ABC,Free Bet BJ 6 to 5,Blackjack,803,3312,912,1840,728.64,-5814,23,-3.159782608695652
156,2020-10-24,ABC,Face Up Pai Gow,Pai Gow,207,5236,736,744,994.84,-1600,24,-2.150537634408602
157,2020-11-11,ABC,Nepal Baccarat,Baccarat,203,1150,784,3096,241.5,5984,24,1.9328165374677002
158,2020-11-18,ABC,Face Up Pai Gow,Pai Gow,208,1755,741,3000,333.45,-4873,15,-1.6243333333333334
159,2020-10-11,ABC,Free Bet BJ 6 to 5,Blackjack,804,2850,1536,3864,627.0,-9867,23,-2.5535714285714284
160,2020-10-03,ABC,Nepal Baccarat,Baccarat,204,3534,782,1953,742.14,-2108,21,-1.0793650793650793
161,2020-11-07,ABC,TZ Roulette,Roulette,801,4334,1220,5184,953.48,11040,24,2.1296296296296298
162,2020-10-25,ABC,Nepal Baccarat,Baccarat,204,3652,1680,1976,766.92,665,19,0.33653846153846156
163,2020-11-10,ABC,Face Up Pai Gow,Pai Gow,208,834,952,0,158.46,3276,0,inf
164,2020-11-11,ABC,SZ Roulette,Roulette,170,3315,45,0,729.3,13618,0,inf
165,2020-10-17,ABC,Free Bet BJ 6 to 5,Blackjack,803,2736,1173,3850,601.92,-6720,22,-1.7454545454545454
166,2020-10-10,ABC,TZ Roulette,Roulette,801,6380,1320,864,1403.6,6090,24,7.048611111111111
167,2020-10-08,ABC,SZ Roulette,Roulette,170,3910,324,414,860.2,-7356,18,-17.768115942028984
168,2020-11-01,ABC,Free Bet BJ 6 to 5,Blackjack,652,3703,882,880,814.66,-4233,20,-4.810227272727273
169,2020-10-26,ABC,SZ Roulette,Roulette,170,868,1150,884,190.96,5447,13,6.161764705882353
170,2020-11-06,ABC,Nepal Baccarat,Baccarat,204,3281,1152,3870,689.01,-13447,18,-3.4746770025839795
171,2020-10-09,ABC,SZ Roulette,Roulette,170,3077,931,2728,676.94,-11200,22,-4.105571847507331
172,2020-11-02,ABC,Face Up Pai Gow,Pai Gow,207,1792,814,820,340.48,-2645,10,-3.225609756097561
173,2020-10-11,ABC,Free Bet BJ 6 to 5,Blackjack,7,2200,918,1150,484.0,10465,23,9.1
174,2020-10-19,ABC,Free Bet BJ 6 to 5,Blackjack,652,1180,1281,2720,259.6,-1104,17,-0.40588235294117647
175,2020-10-10,ABC,Nepal Baccarat,Baccarat,204,3534,1104,4512,742.14,2482,24,0.5500886524822695
176,2020-11-14,ABC,Free Bet BJ 6 to 5,Blackjack,803,5346,1224,1998,1176.1200000000001,-8424,18,-4.216216216216216
177,2020-11-06,ABC,Face Up Pai Gow,Pai Gow,207,5500,1045,2760,1045.0,-12528,23,-4.539130434782609
178,2020-10-12,ABC,Free Bet BJ 6 to 5,Blackjack,652,127,1050,2376,27.94,-1788,22,-0.7525252525252525
179,2020-10-29,ABC,Face Up Pai Gow,Pai Gow,207,4200,470,1272,798.0,2839,24,2.231918238993711
180,2020-10-31,ABC,TZ Roulette,Roulette,4,3042,1428,2415,669.24,-12150,23,-5.031055900621118
181,2020-11-08,ABC,TZ Roulette,Roulette,801,4845,1100,5170,1065.9,15504,22,2.9988394584139266
182,2020-11-15,ABC,Face Up Pai Gow,Pai Gow,207,5750,1176,1848,1092.5,-5627,22,-3.04491341991342
183,2020-11-18,ABC,Face Up Pai Gow,Pai Gow,207,3611,1560,2208,686.09,1782,16,0.8070652173913043
184,2020-10-10,ABC,Free Bet BJ 6 to 5,Blackjack,652,4692,918,1296,1032.24,-5616,24,-4.333333333333333
185,2020-10-28,ABC,Nepal Baccarat,Baccarat,203,0,525,252,1179.0,1268,9,5.031746031746032
186,2020-10-11,ABC,TZ Roulette,Roulette,801,4577,1024,504,1006.94,-510,24,-1.0119047619047619
187,2020-10-16,ABC,Face Up Pai Gow,Pai Gow,207,3894,1276,2244,739.86,22747,17,10.13680926916221
188,2020-10-16,ABC,Free Bet BJ 6 to 5,Blackjack,7,4767,1072,1426,1048.74,14712,23,10.316970546984573
189,2020-10-20,ABC,Face Up Pai Gow,Pai Gow,207,4176,884,140,793.44,-720,1,-5.142857142857143
190,2020-10-31,ABC,Free Bet BJ 6 to 5,Blackjack,803,3780,1127,1539,831.6,6240,19,4.05458089668616
191,2020-11-19,ABC,Face Up Pai Gow,Pai Gow,206,4532,220,3700,861.08,-1580,20,-0.42702702702702705
192,2020-11-04,ABC,Face Up Pai Gow,Pai Gow,208,3757,520,189,713.83,-2205,3,-11.666666666666666
193,2020-11-05,ABC,Face Up Pai Gow,Pai Gow,208,4578,420,1320,869.82,276,24,0.20909090909090908
194,2020-10-14,ABC,SZ Roulette,Roulette,170,227,469,3045,49.94,6687,21,2.1960591133004925
195,2020-11-03,ABC,Nepal Baccarat,Baccarat,204,3672,511,0,771.12,14283,0,inf
196,2020-10-07,ABC,Face Up Pai Gow,Pai Gow,208,1883,1184,147,357.77,270,1,1.836734693877551
197,2020-11-09,ABC,Nepal Baccarat,Baccarat,203,2976,1104,697,624.9599999999999,-3480,17,-4.992826398852224
198,2020-10-31,ABC,Nepal Baccarat,Baccarat,203,2945,1273,3840,618.4499999999999,18220,24,4.744791666666667
199,2020-11-09,ABC,Nepal Baccarat,Baccarat,204,2376,1035,2744,498.96,15675,14,5.712463556851312
200,2020-10-25,ABC,SZ Roulette,Roulette,170,3960,1407,1702,871.2,-736,23,-0.43243243243243246
201,2020-10-20,ABC,Face Up Pai Gow,Pai Gow,208,0,360,140,340.0,-271,4,-1.9357142857142857
202,2020-11-08,ABC,Free Bet BJ 6 to 5,Blackjack,803,4275,833,756,940.5,-15240,21,-20.158730158730158
203,2020-10-05,ABC,Free Bet BJ 6 to 5,Blackjack,652,846,136,1485,186.12,820,9,0.5521885521885522
204,2020-10-03,ABC,Nepal Baccarat,Baccarat,203,4066,1656,3432,853.86,-3417,22,-0.9956293706293706
205,2020-10-09,ABC,Face Up Pai Gow,Pai Gow,207,4368,1292,1848,829.92,-18128,21,-9.80952380952381
206,2020-11-03,ABC,Face Up Pai Gow,Pai Gow,208,270,402,104,51.3,-98,4,-0.9423076923076923
207,2020-11-21,ABC,Nepal Baccarat,Baccarat,204,4800,1533,2079,1008.0,3024,21,1.4545454545454546
208,2020-11-05,ABC,Nepal Baccarat,Baccarat,204,1274,1180,960,267.53999999999996,1336,12,1.3916666666666666
209,2020-10-21,ABC,SZ Roulette,Roulette,170,5567,528,1215,1224.74,-12150,9,-10.0
210,2020-10-11,ABC,Face Up Pai Gow,Pai Gow,208,3586,1562,1653,681.34,54,19,0.032667876588021776
211,2020-10-23,ABC,TZ Roulette,Roulette,801,2200,1725,594,484.0,10152,18,17.09090909090909
212,2020-10-24,ABC,TZ Roulette,Roulette,801,4800,1480,2016,1056.0,-12274,16,-6.088293650793651
213,2020-11-02,ABC,Nepal Baccarat,Baccarat,203,1758,184,2772,369.18,-740,22,-0.26695526695526695
214,2020-11-07,ABC,Face Up Pai Gow,Pai Gow,207,2660,944,805,505.40000000000003,-16569,23,-20.582608695652173
215,2020-11-14,ABC,Nepal Baccarat,Baccarat,204,2793,972,1012,586.53,9042,22,8.934782608695652
216,2020-11-12,ABC,SZ Roulette,Roulette,170,6216,962,1394,1367.52,-13500,17,-9.684361549497847
217,2020-10-17,ABC,Nepal Baccarat,Baccarat,204,3280,1368,3724,688.8,-9861,19,-2.6479591836734695
218,2020-10-30,ABC,Free Bet BJ 6 to 5,Blackjack,803,3036,988,483,667.92,19602,23,40.58385093167702
219,2020-11-17,ABC,Face Up Pai Gow,Pai Gow,207,5160,690,1760,980.4,-6597,20,-3.7482954545454548
220,2020-10-27,ABC,Nepal Baccarat,Baccarat,203,2880,966,310,604.8,-3760,5,-12.129032258064516
221,2020-10-22,ABC,Nepal Baccarat,Baccarat,204,2015,1292,2560,423.15,-11016,20,-4.303125
222,2020-11-07,ABC,Face Up Pai Gow,Pai Gow,206,5214,1449,2200,990.66,-7380,20,-3.3545454545454545
223,2020-11-20,ABC,Face Up Pai Gow,Pai Gow,207,6394,1408,2992,1214.8600000000001,19080,22,6.377005347593583
224,2020-11-10,ABC,Face Up Pai Gow,Pai Gow,206,500,159,2925,95.0,5244,13,1.7928205128205128
225,2020-11-09,ABC,SZ Roulette,Roulette,170,2632,497,1100,579.04,2112,4,1.92
226,2020-10-23,ABC,SZ Roulette,Roulette,171,3360,1449,1782,739.2,18744,18,10.518518518518519
227,2020-10-14,ABC,Nepal Baccarat,Baccarat,203,1290,715,896,270.9,-674,7,-0.7522321428571429
228,2020-10-18,ABC,Nepal Baccarat,Baccarat,203,5083,1288,3740,1067.43,-4284,17,-1.1454545454545455
229,2020-11-08,ABC,SZ Roulette,Roulette,170,3320,952,3870,730.4,3102,18,0.8015503875968992
230,2020-10-03,ABC,TZ Roulette,Roulette,4,2793,1420,2576,614.46,-4352,23,-1.68944099378882
231,2020-10-10,ABC,Free Bet BJ 6 to 5,Blackjack,7,4080,1702,3240,897.6,16840,20,5.197530864197531
232,2020-10-03,ABC,SZ Roulette,Roulette,170,5681,1104,4664,1249.82,13772,22,2.952830188679245
233,2020-10-03,ABC,Face Up Pai Gow,Pai Gow,207,5148,1062,928,978.12,20448,16,22.03448275862069
234,2020-10-02,ABC,Free Bet BJ 6 to 5,Blackjack,652,3339,1725,4692,734.58,10368,23,2.209718670076726
